gene,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
COL1A2,0.11451657122632257,0.0,4.7245638e-05,0.0,0.009900990099009901,4.651134907310288e-05,0.0,0.0,0.0222995272500223
HADH,0.11433470205540172,0.0,4.7245638e-05,0.0,0.009900990099009901,4.016477228002309e-05,0.0,0.0,0.0222995272500223
UQCRB,0.11418566902854124,0.0,4.7245638e-05,0.0,0.009900990099009901,3.2398882009999397e-05,0.0,0.0,0.0222995272500223
CSRP1,0.11288110765536379,0.0,4.7245638e-05,0.0,0.009900990099009901,3.892741682447502e-05,0.0,0.0,0.0222995272500223
OSR2,0.11123335902522374,0.0,4.7245638e-05,0.0,0.009900990099009901,2.0642002792117733e-05,0.0,0.0,0.0222995272500223
TACSTD2,0.11013688862415055,0.0,4.7245638e-05,0.0,0.009900990099009901,3.930541337931701e-05,0.0,0.0,0.0222995272500223
PARK7,0.10994905750619718,0.0,4.7245638e-05,0.0,0.009900990099009901,3.187240282998489e-05,0.0,0.0,0.0222995272500223
PRKCE,0.10856949452787922,0.0,4.7245638e-05,0.0,0.009900990099009901,3.278099402494619e-05,0.0,0.0,0.0222995272500223
PDLIM7,0.10830304435630206,0.0,4.7245638e-05,0.0,0.009900990099009901,3.431715535886141e-05,0.0,0.0,0.0222995272500223
MEGF6,0.10788461023146963,0.0,4.7245638e-05,0.0,0.009900990099009901,3.2565246013866184e-05,0.0,0.0,0.0222995272500223
EFEMP1,0.10682390214454636,0.0,4.7245638e-05,0.0,0.009900990099009901,3.4781727762168194e-05,0.0,0.0,0.0222995272500223
PI16,0.10648186767885583,0.0,4.7245638e-05,0.0,0.009900990099009901,2.2976404418028503e-05,0.0,0.0,0.0222995272500223
IGFBP5,0.10486868537386083,0.0,4.7245638e-05,0.0,0.009900990099009901,4.001196091018557e-05,0.0,0.0,0.0222995272500223
PLN,0.10424519176788795,0.0,4.7245638e-05,0.0,0.009900990099009901,2.6285350718276086e-05,0.0,0.0,0.0222995272500223
LAMP2,0.10135717302597064,0.0,4.7245638e-05,0.0,0.009900990099009901,2.7777053700230388e-05,0.0,0.0,0.0222995272500223
LCNL1,0.09958618382978969,0.0,4.7245638e-05,0.0,0.009900990099009901,3.480499089287244e-05,0.0,0.0,0.0222995272500223
PTP4A3,0.09898968966080463,0.0,4.7245638e-05,0.0,0.009900990099009901,3.820525563129341e-05,0.0,0.0,0.0222995272500223
YBX1,0.09874840780629467,0.0,4.7245638e-05,0.0,0.009900990099009901,3.880522837082759e-05,0.0,0.0,0.0222995272500223
HSPB7,0.09784171006043052,0.0,4.7245638e-05,0.0,0.009900990099009901,2.8455303337998496e-05,0.0,0.0,0.0222995272500223
BTG2,0.09720705324217868,0.0,4.7245638e-05,0.0,0.009900990099009901,3.710120688069593e-05,0.0,0.0,0.0222995272500223
FLNC,0.09704517088736725,0.0,4.7245638e-05,0.0,0.009900990099009901,2.931171685367979e-05,0.0,0.0,0.0222995272500223
CPE,0.09687367101000204,0.0,4.7245638e-05,0.0,0.009900990099009901,2.623954608370801e-05,0.0,0.0,0.0222995272500223
SLIT3,0.09642434056799788,0.0,4.7245638e-05,0.0,0.009900990099009901,3.9966393944017195e-05,0.0,0.0,0.0222995272500223
DARC,0.09393969118214317,0.0,4.7245638e-05,0.0,0.009900990099009901,1.1862177757421691e-05,0.0,0.0,0.0222995272500223
FABP4,0.09356295423617358,0.0,4.7245638e-05,0.0,0.009900990099009901,2.5057625737027288e-05,0.0,0.0,0.0222995272500223
ATP1A1,0.09213696871994485,0.0,4.7245638e-05,0.0,0.009900990099009901,4.177498522792104e-05,0.0,0.0,0.0222995272500223
FAM3D,0.09024606598188605,0.0,4.7245638e-05,0.0,0.009900990099009901,2.582791126410387e-05,0.0,0.0,0.0222995272500223
PRELP,0.08993540402329597,0.0,4.7245638e-05,0.0,0.009900990099009901,2.4953311076369735e-05,0.0,0.0,0.0222995272500223
FAM189A2,0.0889050537781696,0.0,4.7245638e-05,0.0,0.009900990099009901,3.279099552997386e-05,0.0,0.0,0.0222995272500223
MAL,0.0887108428647406,0.0,4.7245638e-05,0.0,0.009900990099009901,3.9864483976658896e-05,0.0,0.0,0.0222995272500223
MICALL2,0.08659295500160812,0.0,4.7245638e-05,0.0,0.009900990099009901,3.906655250879998e-05,0.0,0.0,0.0222995272500223
PEAR1,0.08627492026656938,0.0,4.7245638e-05,0.0,0.009900990099009901,3.63013480694551e-05,0.0,0.0,0.0222995272500223
PODN,0.08521775666581793,0.0,4.7245638e-05,0.0,0.009900990099009901,3.4492383593758504e-05,0.0,0.0,0.0222995272500223
CNTFR,0.08459084099460058,0.0,4.7245638e-05,0.0,0.009900990099009901,3.1313733890330475e-05,0.0,0.0,0.0222995272500223
RP11-1399P15.1,0.08412484295061287,0.0,4.7245638e-05,0.0,0.009900990099009901,8.761865364976137e-06,0.0,0.0,0.0222995272500223
TINAGL1,0.08061100041992077,0.0,4.7245638e-05,0.0,0.009900990099009901,2.5020160324366265e-05,0.0,0.0,0.0222995272500223
CXCL9,0.07852297554286493,0.0,4.7245638e-05,0.0,0.009900990099009901,2.72406221221815e-05,0.0,0.0,0.0222995272500223
COL16A1,0.07798470247743075,0.0,4.7245638e-05,0.0,0.009900990099009901,3.376573486811127e-05,0.0,0.0,0.0222995272500223
MXRA8,0.07708563043959034,0.0,4.7245638e-05,0.0,0.009900990099009901,4.1413801138488324e-05,0.0,0.0,0.0222995272500223
CADPS,0.0769580450932551,0.0,4.7245638e-05,0.0,0.009900990099009901,3.966829580490953e-05,0.0,0.0,0.0222995272500223
SERINC1,0.07647103449635881,0.0,4.7245638e-05,0.0,0.009900990099009901,3.694716654254562e-05,0.0,0.0,0.0222995272500223
ARID5A,0.07629695052185567,0.0,4.7245638e-05,0.0,0.009900990099009901,2.796332250609178e-05,0.0,0.0,0.0222995272500223
S100A4,0.07591422623728865,0.0,4.7245638e-05,0.0,0.009900990099009901,2.721415733524173e-05,0.0,0.0,0.0222995272500223
OGN,0.0755146353554616,0.0,4.7245638e-05,0.0,0.009900990099009901,3.3375888876134825e-05,0.0,0.0,0.0222995272500223
IL6,0.0753205686324067,0.0,4.7245638e-05,0.0,0.009900990099009901,3.113302793903299e-05,0.0,0.0,0.0222995272500223
IL8,0.07513535636432996,0.0,4.7245638e-05,0.0,0.009900990099009901,2.720560861421506e-05,0.0,0.0,0.0222995272500223
RAMP1,0.07436009856819432,0.0,4.7245638e-05,0.0,0.009900990099009901,2.9301625132213104e-05,0.0,0.0,0.0222995272500223
IL7R,0.07426623942971444,0.0,4.7245638e-05,0.0,0.009900990099009901,2.2198652218943174e-05,0.0,0.0,0.0222995272500223
ELN,0.07408264752923714,0.0,4.7245638e-05,0.0,0.009900990099009901,3.385032798197111e-05,0.0,0.0,0.0222995272500223
IQGAP2,0.07376547819321372,0.0,4.7245638e-05,0.0,0.009900990099009901,2.9794263621279845e-05,0.0,0.0,0.0222995272500223
SLC25A4,0.07364303301885272,0.0,4.7245638e-05,0.0,0.009900990099009901,2.930413653475391e-05,0.0,0.0,0.0222995272500223
ZYX,0.07332150599631054,0.0,4.7245638e-05,0.0,0.009900990099009901,3.273397245102752e-05,0.0,0.0,0.0222995272500223
